"hawker","type","stars","votes","status","address","datetime"
"DuaLima","Hawker Stall ","4.4","58","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"Puteri Nasi Padang","Indonesian ","4.1","56","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"Noi Kassim BBQ","Hawker Stall ","4.7","54","Inactive","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"TFF boneless chicken rice","Hawker Stall ","3.0","49","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"Nur Indah Kitchen","Hawker Stall ","3.1","43","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"My Nasi Ayam","Hawker Stall ","3.2","39","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"Baraka Kebab","Hawker Stall ","4.9","37","Inactive","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"Ayam Penyet No.1","Restaurant ","3.2","35","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"Suka Ramai Mama Power","Restaurant ","4.2","30","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"12 Goreng Pisang King","Hawker Stall ","3.8","27","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"Bamboo Nasi Rendang","Hawker Stall ","4.3","19","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"Mala Wok","Hawker Stall ","4.7","18","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"Xiang Ji Wanton Noodle","Restaurant ","4.4","17","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"Persian Tandoor","Hawker Stall ","4.9","14","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"Sinaran Cahaya Bedok Corner","Hawker Stall ","4.2","13","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"Draman & Sons","Hawker Stall ","4.8","12","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"Ole-Ole Javiyan","Hawker Stall ","3.7","11","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"Malek Satay","Restaurant ","4.4","9","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"Soon Lee Halal Carrot Cake","Food court ","4.2","6","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"Fruitz Dessert","Restaurant ","4.5","4","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"Ayam Goreng Berempah","Hawker Stall ","2.3","3","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"Shahanas Cafe","Hawker Stall ","5.0","3","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"Chahaya Rossaz","Hawker Stall ","4.7","3","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"Faiz Drink Stall","Hawker Stall ","3.7","3","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"Soon Lee Fresh Seafood","Restaurant ","4.7","3","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"Al-Iklasi Cafe","Cafe ","5.0","1","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
